Name,Source Columns,Target Columns,Rule,Function,Specification Description,Name,Source Columns,Target Columns,Rule,Function,Specification Description,"testURL","ImplementsFTR"
"SAS LASR Analytic Server Loader","SBA.Team_SAS_VA_016.Staging Library._016_RAC_BDG","SBA.Team_SAS_VA_016.Memory Library._016_RAC_BDG",,,,,,,,,,,
