+++ BI Server - begin +++
Name, Description
SBA,BI Reporting Server
+++ BI Server - end +++

+++ BI Report - begin +++
Name,Server,Folder,Description
RACE_PROD,SBA,SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD,RACE_PROD[A56RQPC2.AY0001BS]
+++ BI Report - end +++

+++ BI Query - begin +++
Name,Report,Description
DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,_016_RAC_FACT_GENERAL
+++ BI Query - end +++

+++ BI Collection - begin +++
Name,Model,Description
_016_RAC_FACT_GENERAL,t016lasr<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Data/Memory/Team_SAS_VA_016 - Memory Library>,_016_RAC_FACT_GENERAL
+++ BI Collection - end +++

+++ BI Model - begin +++
Name,Report,Description
t016lasr,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,_016_RAC_FACT_GENERAL
+++ BI Model - end +++

+++ BI Query Member - begin +++
DL_STRUTTURA_L4, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DL_STRUTTURA_L4,"Source: T016LASR._016_RAC_FACT_GENERAL"
CO_BUSINESS_LINE_LEV1, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,CO_BUSINESS_LINE_LEV1,"Source: T016LASR._016_RAC_FACT_GENERAL"
DL_BUSINESS_LINE_LEV1, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DL_BUSINESS_LINE_LEV1,"Source: T016LASR._016_RAC_FACT_GENERAL"
CO_BUSINESS_LINE_LEV2, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,CO_BUSINESS_LINE_LEV2,"Source: T016LASR._016_RAC_FACT_GENERAL"
DL_BUSINESS_LINE_LEV2, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DL_BUSINESS_LINE_LEV2,"Source: T016LASR._016_RAC_FACT_GENERAL"
CO_BUSINESS_LINE_LEV3, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,CO_BUSINESS_LINE_LEV3,"Source: T016LASR._016_RAC_FACT_GENERAL"
DL_BUSINESS_LINE_LEV3, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DL_BUSINESS_LINE_LEV3,"Source: T016LASR._016_RAC_FACT_GENERAL"
DL_BUSINESS_LINE_LEV4, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DL_BUSINESS_LINE_LEV4,"Source: T016LASR._016_RAC_FACT_GENERAL"
DL_BUSINESS_LINE_LEV5, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DL_BUSINESS_LINE_LEV5,"Source: T016LASR._016_RAC_FACT_GENERAL"
CO_BUSINESS_LINE, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,CO_BUSINESS_LINE,"Source: T016LASR._016_RAC_FACT_GENERAL"
DL_BUSINESS_LINE, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DL_BUSINESS_LINE,"Source: T016LASR._016_RAC_FACT_GENERAL"
DE_PROFIT_CENTRE_L0, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DE_PROFIT_CENTRE_L0,"Source: T016LASR._016_RAC_FACT_GENERAL"
DE_PROFIT_CENTRE_L1, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DE_PROFIT_CENTRE_L1,"Source: T016LASR._016_RAC_FACT_GENERAL"
