+++ Host - begin +++
Name, Description
SBA,BI Reporting Host
+++ Host - end +++

+++ Database - begin +++
Name,Host,Description,Vendor,Version,Instance,Location,DBMS
Team_SAS_VA_016,SBA,Team_SAS_VA_016,,,file,Lab,Relational
+++ Database - end +++

+++ Schema - begin +++
Name,Host,Database,Description
Memory Library,SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library
+++ Schema - end +++

+++ Database Table - begin +++
Name,Host,Database,Schema,Description
DE_PROFIT_CENTRE_L1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,Profit Center, , , , , , , , , , 
DE_PROFIT_CENTRE_L2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,Region / Dir. Network, , , , , , , , , , 
DE_PROFIT_CENTRE, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
FLAG_PUBLIC_SECTOR, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
FLAG_SMALL_BUSINESS, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
DE_FLAG_ALFA, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
FLAG_NETWORK, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,Network, , , , , , , , , , 
FLAG_MESE_CORRENTE, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
GG_INIZIO_ANNO, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
GG_INIZIO_MESE, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
IM_MOL_TOT, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
IM_EQ_REB, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
IM_CT2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
IM_EL_REG, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
IM_SEVA, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
NUM_RWA, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
EAD_REG, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,EAD REG, , , , , , , , , , 
IM_ABS_CAP_T1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
IM_MOL_TOT_YTD, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
IM_EQ_REB_YTD, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
IM_CT2_YTD, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
IM_EL_REG_YTD, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
IM_SEVA_YTD, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
NUM_RWA_YTD, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
IM_ABS_CAP_T1_YTD, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
DT_PERIODO_RIFERIMENTO, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,Mese, , , , , , , , , , 
CO_STRUTTURA_L4, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
DT_AGGIORNAMENTO, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
TIPO_DATO, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
NDG, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
CO_STRUTTURA_L3, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
CO_STRUTTURA, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
FLAG_SHADOW, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
CO_STRUTTURA_L5, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
DL_STRUTTURA_L5, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,Area Comm./Ag.Private, , , , , , , , , , 
NDG_Gruppo, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
DL_CANALE, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
CANALE, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
CO_RUOLO, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
MACRO_TP_PROD, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
PD_MEDIA, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
PD_MEDIA_YTD, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_FACT_GENERAL,, , , , , , , , , , 
+++ Database Column - end +++

+++ Database - begin +++
Name,Host,Description,Vendor,Version,Instance,Location,DBMS
WORK,SBA,WORK,,,file,Lab,Relational
+++ Database - end +++

+++ Schema - begin +++
Name,Host,Database,Description
<NOSCHEMA>,SBA,WORK<dbms=Relational::instance=file>,<NOSCHEMA>
+++ Schema - end +++

+++ Database Table - begin +++
Name,Host,Database,Schema,Description
_016_RAC_FACT_GENERAL,SBA,WORK,<NOSCHEMA>,_016_RAC_FACT_GENERAL
+++ Database Table - end +++

+++ Database Column - begin +++
Name,Host,Database,Schema,Table,Description,ODBC Type,Data Type,Native Type,Length,Minimum Length,Unique,Nullability,Fraction,Position,Level Number
+++ Database Column - end +++

+++ Database - begin +++
Name,Host,Description,Vendor,Version,Instance,Location,DBMS
WORK,SBA,WORK,,,file,Lab,Relational
+++ Database - end +++

+++ Schema - begin +++
Name,Host,Database,Description
<NOSCHEMA>,SBA,WORK<dbms=Relational::instance=file>,<NOSCHEMA>
+++ Schema - end +++

+++ Database Table - begin +++
Name,Host,Database,Schema,Description
Join,SBA,WORK,<NOSCHEMA>,Join
+++ Database Table - end +++

+++ Database Column - begin +++
Name,Host,Database,Schema,Table,Description,ODBC Type,Data Type,Native Type,Length,Minimum Length,Unique,Nullability,Fraction,Position,Level Number
+++ Database Column - end +++

+++ Database - begin +++
Name,Host,Description,Vendor,Version,Instance,Location,DBMS
WORK,SBA,WORK,,,file,Lab,Relational
+++ Database - end +++

+++ Schema - begin +++
Name,Host,Database,Description
<NOSCHEMA>,SBA,WORK<dbms=Relational::instance=file>,<NOSCHEMA>
+++ Schema - end +++

+++ Database Table - begin +++
Name,Host,Database,Schema,Description
Join,SBA,WORK,<NOSCHEMA>,Join
+++ Database Table - end +++

+++ Database Column - begin +++
Name,Host,Database,Schema,Table,Description,ODBC Type,Data Type,Native Type,Length,Minimum Length,Unique,Nullability,Fraction,Position,Level Number
+++ Database Column - end +++

+++ Database - begin +++
Name,Host,Description,Vendor,Version,Instance,Location,DBMS
WORK,SBA,WORK,,,file,Lab,Relational
+++ Database - end +++

+++ Schema - begin +++
Name,Host,Database,Description
<NOSCHEMA>,SBA,WORK<dbms=Relational::instance=file>,<NOSCHEMA>
+++ Schema - end +++

+++ Database Table - begin +++
Name,Host,Database,Schema,Description
Join,SBA,WORK,<NOSCHEMA>,Join
+++ Database Table - end +++

+++ Database Column - begin +++
Name,Host,Database,Schema,Table,Description,ODBC Type,Data Type,Native Type,Length,Minimum Length,Unique,Nullability,Fraction,Position,Level Number
+++ Database Column - end +++

+++ Database - begin +++
Name,Host,Description,Vendor,Version,Instance,Location,DBMS
WORK,SBA,WORK,,,file,Lab,Relational
+++ Database - end +++

+++ Schema - begin +++
Name,Host,Database,Description
